t,luma
1.04,38.77325
1.12,38.522999999999996
1.2,38.0495
1.28,38.00925
1.36,38.33725
1.44,38.5275
1.52,39.50775
1.6,41.40925
1.68,47.18899999999999
1.76,51.71725
1.84,58.53274999999999
1.92,66.71474999999998
2.0,75.23425
2.08,85.9745
2.16,94.80425
2.24,101.869
2.32,108.62975
2.4,115.01375
2.48,119.00599999999999
2.56,121.18725
2.64,119.74974999999999
2.72,114.5625
2.8000000000000003,106.064
2.88,97.94024999999999
2.96,82.87649999999998
3.04,66.66125
3.12,55.943
3.2,47.440999999999995
3.2800000000000002,42.67475
3.36,43.75875
3.44,49.79024999999999
3.52,58.52025
3.6,73.38575
3.68,87.70575
3.7600000000000007,98.01125
3.84,109.74299999999998
3.92,117.2595
4.0,117.518
4.08,111.33099999999999
4.16,102.1145
4.24,85.278
4.32,70.52975
